[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\DataCollection\AllowTelemetry | Value: 1 (DWord)
[2025-08-23 23:44:58] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\TailoredExperiencesWithDiagnosticDataEnabled | Old: 0 (System.Int32) | New: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Siuf\Rules\NumberOfSIUFInPeriod | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Siuf\Rules\PeriodInNanoSeconds | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableConsumerFeatures | Value: 1 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableActivityFeed | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\PublishUserActivities | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\UploadUserActivities | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableCdp | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo\DisabledByGroupPolicy | Value: 1 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\PrivacyConsentStatus | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\EnableAdaptivePrivacy | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors\DisableLocation | Value: 1 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\BingSearchEnabled | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\CortanaConsent | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\AllowSearchToUseLocation | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsDeviceSearchHistoryEnabled | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsCloudSearchEnabled | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsDynamicSearchBoxEnabled | Value: 0 (DWord)
[2025-08-23 23:44:58] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppPrivacy\LetAppsRunInBackground | Value: 2 (DWord)
[2025-08-23 23:44:58] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\BackgroundAccessApplications\GlobalUserDisabled | Value: 1 (DWord)
[2025-08-23 23:44:59] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableSmartScreen | Value: 1 (DWord)
[2025-08-23 23:44:59] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\ShellSmartScreenLevel | Value: Warn (String)
[2025-08-23 23:45:00] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AllowMUUpdateService | Value: 0 (DWord)
[2025-08-23 23:45:00] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableSoftLanding | Value: 1 (DWord)
[2025-08-23 23:45:00] CREATED: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableWindowsSpotlightFeatures | Value: 1 (DWord)
[2025-08-23 23:45:00] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SystemPaneSuggestionsEnabled | Old: 1 (System.Int32) | New: 0 (DWord)
[2025-08-23 23:45:00] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338387Enabled | Value: 0 (DWord)
[2025-08-23 23:45:00] CREATED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338388Enabled | Value: 0 (DWord)
[2025-08-23 23:45:00] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338389Enabled | Old: 1 (System.Int32) | New: 0 (DWord)
[2025-08-23 23:45:00] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\RotatingLockScreenEnabled | Old: 1 (System.Int32) | New: 0 (DWord)
[2025-08-23 23:45:00] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\RotatingLockScreenOverlayEnabled | Old: 1 (System.Int32) | New: 0 (DWord)
[2025-08-23 23:45:00] CREATED: HKCU:\Software\Microsoft\Clipboard\EnableCloudClipboard | Value: 0 (DWord)
[2025-08-23 23:45:00] CREATED: HKCU:\Software\Microsoft\Clipboard\CloudClipboardAutomaticUpload | Value: 0 (DWord)
[2025-08-23 23:45:00] MODIFIED: HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\TaskbarDa | Old: 1 (System.Int32) | New: 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\DataCollection\AllowTelemetry already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\TailoredExperiencesWithDiagnosticDataEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Siuf\Rules\NumberOfSIUFInPeriod already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Siuf\Rules\PeriodInNanoSeconds already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableConsumerFeatures already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableActivityFeed already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\PublishUserActivities already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\UploadUserActivities already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableCdp already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo\DisabledByGroupPolicy already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\PrivacyConsentStatus already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Privacy\EnableAdaptivePrivacy already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors\DisableLocation already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\BingSearchEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\CortanaConsent already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\Search\AllowSearchToUseLocation already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsDeviceSearchHistoryEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsCloudSearchEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\SearchSettings\IsDynamicSearchBoxEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppPrivacy\LetAppsRunInBackground already set to requested value of 2 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\BackgroundAccessApplications\GlobalUserDisabled already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\EnableSmartScreen already set to requested value of 1 (DWord)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\System\ShellSmartScreenLevel already set to requested value of Warn (String)
[2025-08-24 00:01:27] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AllowMUUpdateService already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableSoftLanding already set to requested value of 1 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent\DisableWindowsSpotlightFeatures already set to requested value of 1 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SystemPaneSuggestionsEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338387Enabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338388Enabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\SubscribedContent-338389Enabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\RotatingLockScreenEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager\RotatingLockScreenOverlayEnabled already set to requested value of 0 (DWord)
[2025-08-24 00:01:28] NO CHANGE: HKCU:\Software\Microsoft\Clipboard\EnableCloudClipboard already set to requested value of 0 (DWord)
